Notice Number,Ticket Number,Issue Date,Violation Location,Zip Code,Violation Code,Violation Description,Unit,Unit Description,Officer,Vehicle Make,License Plate Type,Fine Level 1 Amount,Fine Level 2 Amount,Current Amount Due,Total Payments,Ticket Queue,Ticket Queue Date,Notice Level,Hearing Dispo,Hearing Reason
0,71635608,1/1/21 0:34,90 E 46TH STREET,,0964100A,WITHIN 15' OF FIRE HYDRANT,716,CPD,5146,TOYT,TMP,150,300,150,0,Define,1/11/2021,,,
5235023400,7009322597,1/1/21 0:35,6000 N CALIFORNIA AVE,531102630,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,3/31/2021,DETR,,
5189677050,7009321741,1/1/21 0:35,200 N UPPER WACKER DR,606574838,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,3/1/2021,DETR,,
0,71885598,1/1/21 0:36,220 W ERIE ST,,0976160A,MISSING/NONCOMPLIANT FRONT AND/OR REAR PLATE,18,CPD,6317,SATR,PAS,60,120,60,0,Define,1/14/2021,,,
5152028500,7009323440,1/1/21 0:36,300 N HAMLIN AVENUE,606241397,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,3/28/2021,DETR,,
5217162760,7009321395,1/1/21 0:37,2000 W DIVISION,607074539,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,2/17/2021,VIOL,,
5233814350,71898326,1/1/21 0:38,6649 S MINERVA AVE,606194603,0964130A,PARK ALLEY,3,CPD,17198,DODG,PAS,150,300,300,0,Notice,2/1/2021,FINL,,
5230974870,69006797,1/1/21 0:38,249 E PEARSON,606205042,0964080B,NO STANDING/PARKING TIME RESTRICTED,25,CPD,1939,BUIC,PAS,100,200,0,100,Paid,1/25/2021,VIOL,,
5196094240,7009321340,1/1/21 0:39,200 W GARFIELD BLVD,606243449,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5234884170,7009321730,1/1/21 0:41,9500 S JEFFERY AVE,463231416,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,3/21/2021,DETR,,
5230139990,7009321740,1/1/21 0:41,6300 S STATE ST,465162734,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5230974870,69006798,1/1/21 0:41,249 E PEARSON,606205042,0964125B,"NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.",25,CPD,1939,BUIC,PAS,200,250,0,200,Paid,1/25/2021,VIOL,,
5160603620,7009321399,1/1/21 0:41,800 N CICERO AVENUE,606512511,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,100,0,Notice,1/14/2021,DETR,,
5234872020,7009321456,1/1/21 0:42,400 S WESTERN AVENUE,60153,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,2/10/2021,VIOL,,
5211659040,7009321470,1/1/21 0:43,1 E 79TH STREET,534066517,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/21/2021,FINL,,
5235477230,7009323437,1/1/21 0:44,2000 N KEDZIE AVENUE,606455977,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,33.32,66.68,Notice,1/14/2021,DETR,,
5220787790,7009321499,1/1/21 0:44,4800 N ASHLAND AVENUE,606601817,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,2/2/2021,VIOL,,
5235166770,7009321471,1/1/21 0:45,1 E 79TH STREET,52402,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/6/2021,FINL,,
5234871860,7009321381,1/1/21 0:46,1000 W HOLLYWOOD AVE,60621,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,3/25/2021,DETR,,
5234884200,7009321739,1/1/21 0:46,6300 S DAMEN AVENUE,60649,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5230825670,71379641,1/1/21 0:47,674 N STATE,604096218,0964080B,NO STANDING/PARKING TIME RESTRICTED,18,CPD,13735,NISS,PAS,100,200,0,100,Paid,3/15/2021,DETR,,
0,71748877,1/1/21 0:49,21 E HUBBARD,,0964080B,NO STANDING/PARKING TIME RESTRICTED,495,Miscellaneous,376,HYUN,PAS,100,200,100,0,Define,2/8/2021,,,
5235006810,7009321387,1/1/21 0:49,400 W BELMONT AVE,60618,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5222859390,7009323441,1/1/21 0:50,1 S WESTERN AVE,606382004,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,3/20/2021,DETR,,
5224674040,71746965,1/1/21 0:50,115 W ERIE,606493226,0964080B,NO STANDING/PARKING TIME RESTRICTED,495,Miscellaneous,494,TOYT,PAS,100,200,0,200,Paid,4/27/2021,FINL,,
5234871890,7009321389,1/1/21 0:51,2400 N LARAMIE AVENUE,606391730,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,3/19/2021,DETR,,
5234532460,7009321349,1/1/21 0:52,11100 S HALSTED ST,60649,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5236006700,71526985,1/1/21 0:53,85 E WACKER DR,604784731,0964110A2,DOUBLE PARKING/STANDING CENTRAL BUSINESS DISTRICT,9,CPD,8275,CHRY,PAS,300,600,0,600,Paid,4/28/2021,SEIZ,,
5233108820,7009321335,1/1/21 0:53,4200 S CICERO AVENUE,60624,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5225464380,7009321392,1/1/21 0:54,2800 N CALIFORNIA AVE,606252910,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,2/22/2021,DETR,,
5233500990,7009323435,1/1/21 0:55,1200 N PULASKI ROAD,601641843,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5218265500,7009323447,1/1/21 0:59,4800 W NORTH AVENUE,606234346,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,3/17/2021,DETR,,
5231989130,7009321407,1/1/21 0:59,100 N CICERO AVENUE,60506,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
0,71793407,1/1/21 1:00,665 W ALDINE AV,,0964090E,RESIDENTIAL PERMIT PARKING,19,CPD,18796,INFI,PAS,75,150,75,0,Define,1/12/2021,,,
5188821900,7009323351,1/1/21 1:00,1200 N ASHLAND AVENUE,60651,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,DLS,,
5230564790,7009321472,1/1/21 1:00,1 E 79TH STREET,60409,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5234872030,7009321457,1/1/21 1:00,400 S WESTERN AVENUE,60644,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,3/18/2021,VIOL,,
5234947470,71374497,1/1/21 1:02,258 E DELAWARE,618323689,0964080B,NO STANDING/PARKING TIME RESTRICTED,18,CPD,13817,PONT,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5192969410,7009322711,1/1/21 1:02,3200 N PULASKI RD,606181220,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5219312420,71748857,1/1/21 1:02,323 E CHICAGO,60653,0964080B,NO STANDING/PARKING TIME RESTRICTED,495,Miscellaneous,371,FORD,PAS,100,200,0,100,Paid,4/17/2021,DETR,,
5235021100,71374498,1/1/21 1:03,258 E DELAWARE,522411449,0964080B,NO STANDING/PARKING TIME RESTRICTED,18,CPD,13817,JEEP,PAS,100,200,200,0,Notice,1/27/2021,FINL,,
5234884220,7009321743,1/1/21 1:03,4400 N WESTERN AVENUE,625682234,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5234871870,7009321382,1/1/21 1:03,1000 W HOLLYWOOD AVE,606432221,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,200,Paid,5/26/2021,FINL,,
5135584060,7009325230,1/1/21 1:04,4700 W IRVING PARK ROA,60402,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5234948330,71793408,1/1/21 1:04,642 W ALDINE AV,606577258,0964090E,RESIDENTIAL PERMIT PARKING,19,CPD,18796,JAGU,PAS,75,150,150,0,Notice,1/14/2021,FINL,,
5232169510,72178770,1/1/21 1:05,3145 W POLK,606243681,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,716,CPD,19622,INFI,PAS,60,120,0,0,Dismissed,3/1/2021,DETR,,
5223485960,71374499,1/1/21 1:05,258 E DELAWARE,606371965,0964080B,NO STANDING/PARKING TIME RESTRICTED,18,CPD,13817,CHRY,PAS,100,200,0,100,Paid,1/23/2021,VIOL,,
5234957970,7009321398,1/1/21 1:06,400 N CENTRAL AVENUE,60155,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5211064160,71679485,1/1/21 1:06,4426 S TALMAN,606322721,0964100A,WITHIN 15' OF FIRE HYDRANT,716,CPD,7552,ACUR,PAS,150,300,0,150,Paid,1/16/2021,VIOL,,
5234872040,7009321465,1/1/21 1:06,8700 S LAFAYETTE AVEN,60615,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,1/29/2021,VIOL,,
5221060410,71374500,1/1/21 1:07,258 E DELAWARE,606198031,0964080B,NO STANDING/PARKING TIME RESTRICTED,18,CPD,13817,CHEV,PAS,100,200,200,0,Notice,1/14/2021,FINL,,
5234938210,71395908,1/1/21 1:07,6330 S DAMEN,606522437,0964100A,WITHIN 15' OF FIRE HYDRANT,7,CPD,18013,CADI,PAS,150,300,300,0,Notice,6/24/2021,FINL,,
5230734370,7009321745,1/1/21 1:07,3400 W NORTH AVE,606442630,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5231430900,7009321369,1/1/21 1:07,1 E 63RD ST,606443151,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,1/21/2021,VIOL,,
5229398940,71885599,1/1/21 1:07,179 E LAKE SHORE,604095233,0964080B,NO STANDING/PARKING TIME RESTRICTED,18,CPD,6317,CHRY,PAS,100,200,200,0,Notice,1/21/2021,FINL,,
0,72154596,1/1/21 1:09,203 S COLUMBUS DR,,0964150B,PARKING/STANDING PROHIBITED ANYTIME,1,CPD,11238,GMC,PAS,75,150,75,0,Define,1/12/2021,,,
5235024410,7009323420,1/1/21 1:09,5500 S KEDZIE AVENUE,78255,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/20/2021,FINL,,
5234379900,7009321723,1/1/21 1:09,6300 S PULASKI RD,60652,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,1/29/2021,VIOL,,
5234750090,71885600,1/1/21 1:09,140 E LAKE SHORE,604784746,0964080B,NO STANDING/PARKING TIME RESTRICTED,18,CPD,6317,LNDR,PAS,100,200,0,100,Paid,3/4/2021,VIOL,,
0,71530808,1/1/21 1:10,11110 S HALE,,0964125B,"NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.",22,CPD,18047,BMW,PAS,200,250,200,0,Define,1/14/2021,,,
5235046760,71886211,1/1/21 1:11,257 E DELAWARE,60516,0964080B,NO STANDING/PARKING TIME RESTRICTED,18,CPD,13817,TOYT,PAS,100,200,200,0,Notice,1/21/2021,FINL,,
5214111520,71793409,1/1/21 1:11,612 W ALDINE AV,606393894,0964090E,RESIDENTIAL PERMIT PARKING,19,CPD,18796,HOND,PAS,75,150,0,75,Paid,2/8/2021,VIOL,,
5234918040,71480857,1/1/21 1:12,5958 S WHIPPLE,60629,0964100A,WITHIN 15' OF FIRE HYDRANT,8,CPD,18405,JEEP,PAS,150,300,0,150,Paid,3/8/2021,DETR,,
5017013420,7009321336,1/1/21 1:12,4200 S CICERO AVENUE,601041835,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,TRK,100,200,200,0,Notice,1/14/2021,FINL,,
5234351520,71885558,1/1/21 1:13,253 E WALTON,60637,0964080B,NO STANDING/PARKING TIME RESTRICTED,18,CPD,16706,NISS,PAS,100,200,0,200,Paid,5/2/2021,FINL,,
5235388620,71899984,1/1/21 1:13,6600 S LAKE SHORE DRIVE,60419,0980110B,HAZARDOUS DILAPIDATED VEHICLE,3,CPD,11906,VOLK,PAS,75,150,150,0,Notice,2/1/2021,FINL,,
0,71885601,1/1/21 1:13,254 E WALTON,,0964080B,NO STANDING/PARKING TIME RESTRICTED,18,CPD,6317,CHEV,PAS,100,200,100,0,Define,1/14/2021,,,
5233762220,71480856,1/1/21 1:14,6000 S SACRAMENTO,606511517,0964110C,PARK OR STAND ON CROSSWALK,8,CPD,18405,MITS,PAS,60,120,0,60,Paid,1/21/2021,VIOL,,
5220763990,71748878,1/1/21 1:14,11 E HUBBARD,60601,0964080B,NO STANDING/PARKING TIME RESTRICTED,495,Miscellaneous,376,FORD,PAS,100,200,0,100,Paid,2/25/2021,VIOL,,
5197321790,71374522,1/1/21 1:15,259 E DELAWARE,60649,0964050J,DISABLED PARKING ZONE,18,CPD,5612,VOLK,PAS,250,500,0,250,Paid,6/7/2021,VIOL,,
5197321790,71886212,1/1/21 1:15,259 E DELAWARE,60649,0964080B,NO STANDING/PARKING TIME RESTRICTED,18,CPD,13817,VOLK,PAS,100,200,0,100,Paid,5/7/2021,VIOL,,
5229787000,7009321344,1/1/21 1:15,6300 S WESTERN AVE,60636,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5234765940,71425436,1/1/21 1:15,7812 S PAULINA,60620,0964050J,DISABLED PARKING ZONE,6,CPD,16180,PONT,PAS,250,500,0,250,Paid,1/22/2021,VIOL,,
0,71885602,1/1/21 1:15,252 E WALTON,,0964080B,NO STANDING/PARKING TIME RESTRICTED,18,CPD,6317,NISS,PAS,100,200,0,100,Paid,1/19/2021,,,
5231387100,71910030,1/1/21 1:16,1430 W FARGO,606593368,0964100A,WITHIN 15' OF FIRE HYDRANT,24,CPD,8846,LINC,PAS,150,300,0,150,Paid,3/15/2021,DETR,,
5205855910,7009321473,1/1/21 1:16,1 E 79TH STREET,606213850,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,33.32,66.68,Notice,1/14/2021,DETR,,
5233300950,71537535,1/1/21 1:16,1112 S HALE,60636,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,22,CPD,18887,PONT,TMP,60,120,120,0,Notice,1/14/2021,SEIZ,,
5237449800,71540615,1/1/21 1:17,11111 S HALE,606434247,0964125B,"NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.",22,CPD,10461,CHEV,PAS,200,250,250,0,Notice,1/14/2021,SEIZ,,
5234939800,72169711,1/1/21 1:17,4846 W VAN BUREN,606231754,0964130A,PARK ALLEY,15,CPD,19607,GMC,PAS,150,300,0,150,Paid,2/1/2021,VIOL,,
5233993790,7009325224,1/1/21 1:17,1200 S PULASKI ROAD,606372456,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/14/2021,SEIZ,,
5235049720,71949159,1/1/21 1:17,528 N HAMLIN,606442947,0964100A,WITHIN 15' OF FIRE HYDRANT,11,CPD,7317,CHRY,PAS,150,300,300,0,Notice,1/21/2021,SEIZ,,
5231761810,71885603,1/1/21 1:17,252 E WALTON,60619,0964080B,NO STANDING/PARKING TIME RESTRICTED,18,CPD,6317,NISS,PAS,100,200,200,0,Notice,1/21/2021,FINL,,
5225239290,71909689,1/1/21 1:18,7458 N GREENVIEW,601651153,0964100A,WITHIN 15' OF FIRE HYDRANT,24,CPD,14755,NISS,PAS,150,300,0,150,Paid,3/3/2021,DETR,,
5201905710,7009323425,1/1/21 1:18,11900 S HALSTED,60628,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,200,0,Notice,1/8/2021,DLS,,
5234784040,71886213,1/1/21 1:18,259 E DELAWARE,60605,0964080B,NO STANDING/PARKING TIME RESTRICTED,18,CPD,13817,JAGU,PAS,100,200,0,100,Paid,2/1/2021,DETR,Liable,
5192491280,71885560,1/1/21 1:19,249 E WALTON,608042097,0964080B,NO STANDING/PARKING TIME RESTRICTED,18,CPD,16706,KIA,PAS,100,200,200,0,Notice,1/21/2021,FINL,,
5230215100,7009321746,1/1/21 1:19,3400 W NORTH AVE,606084009,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,2/15/2021,VIOL,,
5218406350,7009321435,1/1/21 1:19,7100 S KEDZIE AVENUE,606522006,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,3/23/2021,DETR,Liable,
5231249470,7009321377,1/1/21 1:19,340 W UPPER WACKER DR,60612,9102020,RED LIGHT VIOLATION,CNDT,Red Light,CNDT,OTHR,PAS,100,200,0,100,Paid,1/27/2021,VIOL,,
5234918050,71480858,1/1/21 1:20,6101 S WHIPPLE,60085,0964100A,WITHIN 15' OF FIRE HYDRANT,8,CPD,18405,CADI,PAS,150,300,300,0,Notice,1/14/2021,FINL,,
5234939110,71793410,1/1/21 1:20,623 W BUCKINGHAM PL,600988087,0964090E,RESIDENTIAL PERMIT PARKING,19,CPD,18796,FORD,TRK,75,150,0,75,Paid,1/23/2021,VIOL,,
